"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","1","test","allure_links_test","","","","test_allure_links",""
"failed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_status_test","","","","test_failed",""
"skipped","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_status_test","","","","test_skipped",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_parametrized_test","","","","test_allure_parametrized_fixture[first]",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_description_test","","","","test_decorated_description","
This is test description from decorator

Scenario:
  - pass
  "
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_labels_test","","","","test_allure_bdd_labels",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_description_test","","","","test_dynamic_description","
    Initial test description
    
 This is dynamic description part: 4"
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","1","test","allure_links_test","","","","test_allure_dynamic_links",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_parametrized_test","","","","test_allure_parametrized_fixture[second]",""
"broken","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_status_test","","","","test_broken",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_status_test","","","","test_passed",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_links_test","","","","test_link_templates",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_labels_test","","","","test_allure_custom_labels",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_step_test","","","","test_step",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_parametrized_test","","","","test_allure_parametrized_test [Second name]",""
"skipped","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_status_test","","","","test_xfail",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_labels_test","","","","test_owner",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_description_test","","","","test_docstring_description","
    This is a test docstring
    It's will be shown as an allure test description
    Scenario:
     - pass
    "
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_labels_test","","","","test_allure_severity",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_fixture_test","","","","test_allure_yield_fixture",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_labels_test","","","","test_allure_tags",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_labels_test","","","","test_dynamic_labels",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_description_test","","","","test_decorated_html_description",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_parametrized_test","","","","test_allure_parametrized_test [First name]",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_labels_test","","","","test_allure_id",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","Custom parent suite","Custom suite","Custom sub suite","","","test_allure_suites",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","1","test","allure_attachments_test","","","","test_attach",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","pytest_quick_start_test","","","","test_allure_simple_test displayName",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_fullname_test","","","","test_fullname",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_fixture_test","","","","test_with_fixture_title",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","0","test","allure_fixture_test","","","","test_allure_fixture_with_finalizer",""
"passed","Fri Jan 17 20:10:07 GMT 2025","Fri Jan 17 20:10:07 GMT 2025","1","test","allure_status_test","","","","test_xpass",""
